step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,head_groups,step_time_ms,eval_time_s
8450,6.297363,3794.67,0.00,,,2019.72,,,,,,,,,,,546.37,
8500,6.621295,5779.73,0.00,,,2019.72,,,,,,,,,,,537.73,
8550,6.458954,5837.92,0.00,,,2019.72,,,,,,,,,,,521.22,
8600,6.255433,5843.15,0.00,,,2019.72,,,,,,,,,,,535.68,
8600,,,,6.538108,690.9779
8650,6.641500,3933.94,0.00,,,2019.72,,,,,,,,,,,514.11,
8700,6.343232,5846.71,0.00,,,2019.72,,,,,,,,,,,514.35,
8750,6.471434,5807.52,0.00,,,2019.72,,,,,,,,,,,529.14,
8800,6.459661,5865.80,0.00,,,2019.72,,,,,,,,,,,521.84,
8800,,,,6.534028,688.1648
8850,6.346644,3841.80,0.00,,,2019.72,,,,,,,,,,,526.27,
8900,6.484293,4944.36,0.00,,,2019.72,,,,,,,,,,,522.14,
8950,6.304613,5787.90,0.00,,,2019.72,,,,,,,,,,,557.90,
9000,6.485290,5774.87,0.00,,,2019.72,,,,,,,,,,,527.51,
9000,,,,6.532166,686.8846
9050,6.525025,3723.31,0.00,,,2019.72,,,,,,,,,,,532.23,
9100,6.320975,5778.74,0.00,,,2019.72,,,,,,,,,,,519.06,
9150,6.363322,5845.58,0.00,,,2019.72,,,,,,,,,,,517.83,
9200,6.458446,5261.87,0.00,,,2019.72,,,,,,,,,,,519.25,
9200,,,,6.530592,685.8040
9250,6.567096,3416.31,0.00,,,2019.72,,,,,,,,,,,560.64,
9300,6.434272,5651.61,0.00,,,2019.72,,,,,,,,,,,511.12,
9350,6.308904,5895.18,0.00,,,2019.72,,,,,,,,,,,517.57,
9400,6.526579,5849.06,0.00,,,2019.72,,,,,,,,,,,519.38,
9400,,,,6.530402,685.6736
9450,6.260790,3800.63,0.00,,,2019.72,,,,,,,,,,,531.06,
9500,6.456705,4817.37,0.00,,,2019.72,,,,,,,,,,,565.75,
9550,6.747196,3541.88,0.00,,,2019.72,,,,,,,,,,,527.42,
9600,6.794267,5748.17,0.00,,,2019.72,,,,,,,,,,,530.33,
9600,,,,6.529678,685.1777
9650,6.519666,3704.41,0.00,,,2019.72,,,,,,,,,,,544.02,
9700,6.567781,5855.55,0.00,,,2019.72,,,,,,,,,,,523.07,
9750,6.774676,5892.28,0.00,,,2019.72,,,,,,,,,,,515.61,
9800,6.565851,5876.71,0.00,,,2019.72,,,,,,,,,,,532.99,
9800,,,,6.529643,685.1534
9850,6.520460,3930.84,0.00,,,2019.72,,,,,,,,,,,517.95,
9900,6.654049,5855.41,0.00,,,2019.72,,,,,,,,,,,516.15,
9950,6.565329,4932.38,0.00,,,2019.72,,,,,,,,,,,548.26,
10000,6.481250,5558.08,0.00,,,2019.72,,,,,,,,,,,547.67,
10000,,,,6.529500,685.0557
