step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
3100,9.352167,12008.69,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.26,
3150,9.443351,10320.35,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.84,
3200,9.437937,12013.33,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,34.25,
3250,9.478835,10320.04,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.12,
3300,9.401517,12020.83,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.54,
3350,9.359619,10289.27,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.44,
3400,9.524563,12030.29,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,34.51,
3450,9.370676,10297.31,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.07,
3500,9.322676,12050.87,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.25,
3500,,,,7.516678,1838.4506
3550,9.446379,8183.61,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.33,
3600,9.323174,10299.36,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,34.88,
3650,9.362833,12025.39,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.51,
3700,9.436876,10304.40,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.51,
3750,9.253276,12044.47,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.13,
3800,9.397958,10293.05,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.68,
3850,9.336343,12090.68,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,34.57,
3900,9.245518,10235.25,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.68,
3950,9.288439,12252.75,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.72,
4000,9.218167,10164.14,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.04,
4000,,,,7.420921,1670.5718
4050,9.367192,9364.42,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.24,
4100,9.205898,10215.26,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.13,
4150,9.370972,10212.44,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.85,
4200,9.444711,12170.21,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.34,
4250,9.431859,10193.14,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.64,
4300,9.150682,12146.29,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.76,
4350,9.314944,10217.41,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.39,
4400,9.299827,12046.69,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.23,
4450,9.381344,10279.65,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.20,
4500,9.228814,12037.73,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.53,
4500,,,,7.410158,1652.6879
4550,9.000265,8187.30,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.29,
4600,9.268419,12040.30,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.92,
4650,9.230289,10299.06,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.91,
4700,9.314377,10298.91,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.22,
4750,9.191624,12037.02,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,35.53,
4800,9.221651,10300.62,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,33.33,
4850,9.431023,12040.44,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,32.37,
4900,9.027668,10304.79,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.13,
4950,9.381119,12042.90,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,31.97,
5000,9.077271,10300.54,6643.69,6643.69,16866.00,16004.85,16866.00,3765.48,,,,,,,,,,,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,,30.57,
5000,,,,7.402046,1639.3349
