step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
1900,7.989910,5009.29,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2986.40,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.65,
1950,8.191047,5091.52,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2994.61,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.23,
2000,8.218101,5019.52,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2989.07,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.91,
2000,,,,7.324030,1516.3026
2050,8.311760,4679.51,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2982.09,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.10,
2100,8.557798,5039.06,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2987.86,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.70,
2150,8.366803,5017.11,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,3003.93,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.88,
2200,8.004111,5000.22,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.82,29605.78,355.78,2.22,4267.77,2012.06,2014.72,0.00,2988.37,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.94,
2250,7.954170,5082.39,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2985.18,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.83,
2300,8.014735,5049.21,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2984.46,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.79,
2350,8.178740,4963.49,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2994.79,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.24,
2400,7.915941,5043.91,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2994.61,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.23,
2450,8.006111,5066.46,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2982.82,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.37,
2500,8.406658,4989.01,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2992.43,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.59,
2500,,,,7.576895,1952.5568
2550,7.868781,4676.07,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2993.13,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.73,
2600,7.993315,5041.42,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2990.95,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.73,
2650,7.849675,5020.23,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2995.61,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,58.31,
2700,7.559055,4989.93,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2996.00,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.62,
2750,7.490310,5076.53,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2997.47,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.05,
2800,7.674968,5013.16,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2997.35,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,57.30,
2850,7.656915,5037.78,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2993.03,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.85,
2900,7.775480,5089.13,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2984.32,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,57.17,
2950,7.587485,4980.34,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2998.60,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.25,
3000,7.692159,5002.29,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,2018.83,29605.78,355.78,2.22,4267.78,2012.06,2014.73,0.00,2988.47,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.71,
3000,,,,6.898645,990.9313
3050,7.674786,4705.62,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.56,29589.65,355.78,2.22,4251.65,1220.79,1223.46,0.00,2198.57,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.67,
3100,7.452679,5107.99,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.56,29589.65,355.78,2.22,4251.65,1220.79,1223.46,0.00,2200.21,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.65,
3150,7.463395,5086.46,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.56,29589.65,355.78,2.22,4251.65,1220.79,1223.46,0.00,2188.21,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.56,
3200,7.721974,5000.72,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.56,29589.65,355.78,2.22,4251.65,1220.79,1223.46,0.00,2197.72,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,55.75,
3250,7.628387,4960.01,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.57,29589.65,355.78,2.22,4251.65,1220.80,1223.47,0.00,2188.76,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.46,
3300,7.423896,5001.86,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.57,29589.65,355.78,2.22,4251.65,1220.80,1223.47,0.00,2194.46,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.19,
3350,7.587023,4990.74,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.57,29589.65,355.78,2.22,4251.65,1220.80,1223.47,0.00,2195.84,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.79,
3400,7.397513,5035.09,3325.61,3325.61,13096.00,11822.48,13096.00,2043.99,1227.57,29589.65,355.78,2.22,4251.65,1220.80,1223.47,0.00,2195.69,56958.26,,,,,,137438953472.00,1786706395136.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,56.62,
