step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
5150,6.788486,5387.42,2029.14,,,2029.14,95.94,407193.14,,,,61.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.56,
5200,6.730538,5398.63,2029.14,,,2029.14,102.42,407193.14,,,,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.06,
5250,6.792092,5401.42,2029.14,,,2029.14,103.75,407193.14,,,,68.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.93,
5300,6.778942,5417.28,2029.14,,,2029.14,104.38,407193.14,,,,68.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.84,
5350,6.893899,4498.61,2029.14,,,2029.14,104.19,407193.14,,,,68.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.81,
5400,6.790486,5390.27,2029.14,,,2029.14,105.44,407193.14,,,,69.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.31,
5450,6.657759,5408.58,2029.14,,,2029.14,95.95,407193.14,,,,60.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.13,
5500,6.771575,5371.42,2029.14,,,2029.14,101.91,407193.14,,,,66.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.44,
5500,,,,6.649557,772.4417
5550,6.453976,3563.79,2029.14,,,2029.14,103.47,407192.59,,,,68.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.89,
5600,6.624560,5416.77,2029.14,,,2029.14,102.20,407192.59,,,,67.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.58,
5650,6.645452,5407.88,2029.14,,,2029.14,105.05,407192.59,,,,70.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.92,
5700,6.681967,5377.66,2029.14,,,2029.14,103.75,407192.59,,,,69.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.57,
5750,6.557031,5428.40,2029.14,,,2029.14,104.42,407192.59,,,,69.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.42,
5800,6.628756,5378.93,2029.14,,,2029.14,105.17,407192.59,,,,69.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.81,
5850,6.700678,5408.67,2029.14,,,2029.14,103.23,407192.59,,,,68.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.54,
5900,6.633591,5421.32,2029.14,,,2029.14,98.25,407192.59,,,,63.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.37,
5950,6.927562,4743.55,2029.14,,,2029.14,105.53,407192.59,,,,69.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.25,
6000,6.787135,5383.16,2029.14,,,2029.14,100.78,407192.59,,,,66.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.87,
6000,,,,6.615421,746.5192
6050,6.645913,3752.63,2029.14,,,2029.14,105.91,407064.05,,,,69.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.57,
6100,6.717469,5399.95,2029.14,,,2029.14,105.64,407193.14,,,,69.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.23,
6150,6.496479,5416.59,2029.14,,,2029.14,100.62,407193.14,,,,65.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.74,
6200,6.326448,5394.25,2029.14,,,2029.14,103.83,407193.14,,,,68.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.12,
6250,6.653882,5389.20,2029.14,,,2029.14,104.31,407193.14,,,,68.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.90,
6300,6.759525,5352.68,2029.14,,,2029.14,102.28,407193.14,,,,66.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.05,
6350,6.735465,5401.12,2029.14,,,2029.14,101.38,407193.14,,,,66.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.28,
6400,6.413884,5372.46,2029.14,,,2029.14,102.42,407193.14,,,,67.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.96,
6450,6.702638,5395.87,2029.14,,,2029.14,105.11,407193.14,,,,69.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.18,
6500,6.639890,5400.99,2029.14,,,2029.14,101.41,407193.14,,,,66.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.55,
6500,,,,6.594526,731.0826
6550,6.729182,3470.50,2029.14,,,2029.14,99.22,407064.05,,,,64.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.18,
6600,6.688844,5402.16,2029.14,,,2029.14,106.17,407192.05,,,,70.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.68,
6650,6.340723,5411.25,2029.14,,,2029.14,103.70,407192.05,,,,68.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.81,
6700,6.512687,5345.50,2029.14,,,2029.14,103.86,407192.59,,,,68.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.89,
6750,6.512885,5405.22,2029.14,,,2029.14,96.75,407192.59,,,,62.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.46,
6800,6.483634,5378.72,2029.14,,,2029.14,101.28,407192.59,,,,66.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.83,
6850,6.434793,5396.66,2029.14,,,2029.14,104.33,407064.59,,,,68.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.81,
6900,6.721371,5403.09,2029.14,,,2029.14,96.98,407192.59,,,,62.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.04,
6950,6.597209,5437.08,2029.14,,,2029.14,100.69,407192.05,,,,65.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.94,
7000,6.658648,5391.33,2029.14,,,2029.14,103.66,407192.59,,,,68.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.50,
7000,,,,6.573484,715.8595
7050,6.229932,3628.82,2029.14,,,2029.14,103.92,407192.59,,,,68.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.08,
7100,6.707768,5405.50,2029.14,,,2029.14,104.00,407192.59,,,,68.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.42,
7150,6.518209,4448.36,2029.14,,,2029.14,98.66,407192.05,,,,64.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.35,
7200,6.555023,5358.47,2029.14,,,2029.14,94.78,407192.59,,,,60.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.72,
7250,6.264183,5288.36,2029.14,,,2029.14,100.03,407192.59,,,,64.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.78,
7300,6.621137,5399.97,2029.14,,,2029.14,100.41,407192.05,,,,65.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.26,
7350,6.610058,5360.25,2029.14,,,2029.14,101.98,407192.59,,,,66.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.37,
7400,6.614397,5401.97,2029.14,,,2029.14,103.42,407192.05,,,,67.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.32,
7450,6.468487,5364.17,2029.14,,,2029.14,103.67,407192.59,,,,68.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.21,
7500,6.579394,5377.93,2029.14,,,2029.14,96.91,407192.59,,,,62.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.93,
7500,,,,6.557570,704.5575
7550,6.598463,3611.45,2029.14,,,2029.14,96.42,407192.59,,,,61.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.58,
7600,6.656759,5407.43,2029.14,,,2029.14,102.95,407192.59,,,,67.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.92,
7650,6.497685,5391.42,2029.14,,,2029.14,93.97,407192.59,,,,59.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.84,
7700,6.645345,4563.25,2029.14,,,2029.14,93.80,407192.05,,,,58.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.79,
7750,6.519969,5369.25,2029.14,,,2029.14,91.70,407192.59,,,,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.35,
7800,6.245002,5329.17,2029.14,,,2029.14,96.48,407192.59,,,,61.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.37,
7850,6.497465,5370.90,2029.14,,,2029.14,97.31,407193.14,,,,62.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.27,
7900,6.608399,5365.05,2029.14,,,2029.14,101.19,407193.14,,,,66.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.83,
7950,6.686418,5258.06,2029.14,,,2029.14,91.89,407193.14,,,,58.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.81,
8000,6.372255,5355.62,2029.14,,,2029.14,103.56,407193.14,,,,68.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.92,
8000,,,,6.544831,695.6388
8050,6.464256,3558.57,2029.14,,,2029.14,102.02,407192.05,,,,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.06,
8100,6.558912,5362.11,2029.14,,,2029.14,97.25,407192.59,,,,62.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.30,
8150,6.387529,5357.91,2029.14,,,2029.14,99.64,407192.59,,,,64.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.35,
8200,6.610003,5375.52,2029.14,,,2029.14,90.58,407192.59,,,,56.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.07,
8250,6.521730,5326.60,2029.14,,,2029.14,101.88,407192.05,,,,66.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.46,
8300,6.701521,4501.95,2029.14,,,2029.14,94.42,407192.59,,,,59.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.36,
