step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
2450,8.298116,4380.70,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2844.97,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.31,
2500,8.469252,4421.35,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2844.35,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.65,
2500,,,,7.012571,1110.5058
2550,8.145445,3989.34,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2850.03,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.88,
2600,8.379525,4319.12,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2857.33,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.93,
2650,8.393295,4396.00,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2850.46,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.66,
2700,8.224154,4414.91,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1757.99,34083.17,355.16,2.22,4004.72,1751.33,1754.01,0.00,2851.80,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.44,
2750,8.157326,4375.10,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.77,34043.84,355.16,2.22,3965.39,1218.10,1220.78,0.00,2315.79,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.73,
2800,8.336807,4440.36,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.14,1220.83,0.00,2314.90,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.19,
2850,8.514462,4289.27,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2312.56,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.13,
2900,8.395730,4243.30,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2309.03,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.31,
2950,7.961628,4212.87,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2315.50,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.76,
3000,8.115560,4144.80,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2309.93,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.04,
3000,,,,7.000719,1097.4223
